
==> Starting time is t1: 1515285788, Sat Jan  6 16:43:08 PST 2018 

2018-01-06T16:43:08.046-0800	connected to: localhost
2018-01-06T16:43:11.044-0800	[........................] jagdb.xaa700m_row	6.23MB/44.3GB (0.0%)
2018-01-06T16:43:14.044-0800	[........................] jagdb.xaa700m_row	12.6MB/44.3GB (0.0%)
2018-01-06T16:43:17.044-0800	[........................] jagdb.xaa700m_row	19.1MB/44.3GB (0.0%)
2018-01-06T16:43:20.044-0800	[........................] jagdb.xaa700m_row	25.6MB/44.3GB (0.1%)
2018-01-06T16:43:23.044-0800	[........................] jagdb.xaa700m_row	32.0MB/44.3GB (0.1%)
2018-01-06T16:43:26.044-0800	[........................] jagdb.xaa700m_row	38.4MB/44.3GB (0.1%)
2018-01-06T16:43:29.044-0800	[........................] jagdb.xaa700m_row	44.8MB/44.3GB (0.1%)
2018-01-06T16:43:32.044-0800	[........................] jagdb.xaa700m_row	50.1MB/44.3GB (0.1%)
2018-01-06T16:43:35.044-0800	[........................] jagdb.xaa700m_row	56.4MB/44.3GB (0.1%)
2018-01-06T16:43:38.044-0800	[........................] jagdb.xaa700m_row	62.6MB/44.3GB (0.1%)
2018-01-06T16:43:41.044-0800	[........................] jagdb.xaa700m_row	69.1MB/44.3GB (0.2%)
2018-01-06T16:43:44.044-0800	[........................] jagdb.xaa700m_row	75.5MB/44.3GB (0.2%)
2018-01-06T16:43:47.044-0800	[........................] jagdb.xaa700m_row	82.0MB/44.3GB (0.2%)
2018-01-06T16:43:50.044-0800	[........................] jagdb.xaa700m_row	88.5MB/44.3GB (0.2%)
2018-01-06T16:43:53.044-0800	[........................] jagdb.xaa700m_row	95.0MB/44.3GB (0.2%)
2018-01-06T16:43:56.044-0800	[........................] jagdb.xaa700m_row	101MB/44.3GB (0.2%)
2018-01-06T16:43:59.044-0800	[........................] jagdb.xaa700m_row	107MB/44.3GB (0.2%)
2018-01-06T16:44:02.044-0800	[........................] jagdb.xaa700m_row	114MB/44.3GB (0.3%)
2018-01-06T16:44:05.044-0800	[........................] jagdb.xaa700m_row	120MB/44.3GB (0.3%)
2018-01-06T16:44:08.044-0800	[........................] jagdb.xaa700m_row	127MB/44.3GB (0.3%)
2018-01-06T16:44:11.044-0800	[........................] jagdb.xaa700m_row	133MB/44.3GB (0.3%)
2018-01-06T16:44:14.044-0800	[........................] jagdb.xaa700m_row	140MB/44.3GB (0.3%)
2018-01-06T16:44:17.044-0800	[........................] jagdb.xaa700m_row	146MB/44.3GB (0.3%)
2018-01-06T16:44:20.044-0800	[........................] jagdb.xaa700m_row	153MB/44.3GB (0.3%)
2018-01-06T16:44:23.044-0800	[........................] jagdb.xaa700m_row	159MB/44.3GB (0.4%)
2018-01-06T16:44:26.044-0800	[........................] jagdb.xaa700m_row	165MB/44.3GB (0.4%)
2018-01-06T16:44:29.044-0800	[........................] jagdb.xaa700m_row	172MB/44.3GB (0.4%)
2018-01-06T16:44:32.044-0800	[........................] jagdb.xaa700m_row	175MB/44.3GB (0.4%)
2018-01-06T16:44:35.044-0800	[........................] jagdb.xaa700m_row	182MB/44.3GB (0.4%)
2018-01-06T16:44:38.044-0800	[........................] jagdb.xaa700m_row	185MB/44.3GB (0.4%)
2018-01-06T16:44:41.044-0800	[........................] jagdb.xaa700m_row	191MB/44.3GB (0.4%)
2018-01-06T16:44:44.044-0800	[........................] jagdb.xaa700m_row	197MB/44.3GB (0.4%)
2018-01-06T16:44:47.044-0800	[........................] jagdb.xaa700m_row	204MB/44.3GB (0.4%)
2018-01-06T16:44:50.044-0800	[........................] jagdb.xaa700m_row	210MB/44.3GB (0.5%)
2018-01-06T16:44:53.044-0800	[........................] jagdb.xaa700m_row	217MB/44.3GB (0.5%)
2018-01-06T16:44:56.044-0800	[........................] jagdb.xaa700m_row	223MB/44.3GB (0.5%)
2018-01-06T16:44:59.044-0800	[........................] jagdb.xaa700m_row	230MB/44.3GB (0.5%)
2018-01-06T16:45:02.044-0800	[........................] jagdb.xaa700m_row	236MB/44.3GB (0.5%)
2018-01-06T16:45:05.044-0800	[........................] jagdb.xaa700m_row	242MB/44.3GB (0.5%)
2018-01-06T16:45:08.044-0800	[........................] jagdb.xaa700m_row	249MB/44.3GB (0.5%)
2018-01-06T16:45:11.044-0800	[........................] jagdb.xaa700m_row	255MB/44.3GB (0.6%)
2018-01-06T16:45:14.044-0800	[........................] jagdb.xaa700m_row	262MB/44.3GB (0.6%)
2018-01-06T16:45:17.044-0800	[........................] jagdb.xaa700m_row	268MB/44.3GB (0.6%)
2018-01-06T16:45:20.044-0800	[........................] jagdb.xaa700m_row	273MB/44.3GB (0.6%)
2018-01-06T16:45:23.044-0800	[........................] jagdb.xaa700m_row	280MB/44.3GB (0.6%)
2018-01-06T16:45:26.044-0800	[........................] jagdb.xaa700m_row	286MB/44.3GB (0.6%)
2018-01-06T16:45:29.044-0800	[........................] jagdb.xaa700m_row	293MB/44.3GB (0.6%)
2018-01-06T16:45:32.044-0800	[........................] jagdb.xaa700m_row	299MB/44.3GB (0.7%)
2018-01-06T16:45:35.044-0800	[........................] jagdb.xaa700m_row	306MB/44.3GB (0.7%)
2018-01-06T16:45:38.044-0800	[........................] jagdb.xaa700m_row	309MB/44.3GB (0.7%)
2018-01-06T16:45:41.044-0800	[........................] jagdb.xaa700m_row	314MB/44.3GB (0.7%)
2018-01-06T16:45:44.044-0800	[........................] jagdb.xaa700m_row	319MB/44.3GB (0.7%)
2018-01-06T16:45:47.044-0800	[........................] jagdb.xaa700m_row	325MB/44.3GB (0.7%)
2018-01-06T16:45:50.044-0800	[........................] jagdb.xaa700m_row	331MB/44.3GB (0.7%)
2018-01-06T16:45:53.044-0800	[........................] jagdb.xaa700m_row	337MB/44.3GB (0.7%)
2018-01-06T16:45:56.044-0800	[........................] jagdb.xaa700m_row	344MB/44.3GB (0.8%)
2018-01-06T16:45:59.044-0800	[........................] jagdb.xaa700m_row	350MB/44.3GB (0.8%)
2018-01-06T16:46:02.044-0800	[........................] jagdb.xaa700m_row	356MB/44.3GB (0.8%)
2018-01-06T16:46:05.044-0800	[........................] jagdb.xaa700m_row	363MB/44.3GB (0.8%)
2018-01-06T16:46:08.044-0800	[........................] jagdb.xaa700m_row	369MB/44.3GB (0.8%)
2018-01-06T16:46:11.044-0800	[........................] jagdb.xaa700m_row	376MB/44.3GB (0.8%)
2018-01-06T16:46:14.044-0800	[........................] jagdb.xaa700m_row	382MB/44.3GB (0.8%)
2018-01-06T16:46:17.044-0800	[........................] jagdb.xaa700m_row	389MB/44.3GB (0.9%)
2018-01-06T16:46:20.044-0800	[........................] jagdb.xaa700m_row	395MB/44.3GB (0.9%)
2018-01-06T16:46:23.044-0800	[........................] jagdb.xaa700m_row	401MB/44.3GB (0.9%)
2018-01-06T16:46:26.044-0800	[........................] jagdb.xaa700m_row	408MB/44.3GB (0.9%)
2018-01-06T16:46:29.044-0800	[........................] jagdb.xaa700m_row	414MB/44.3GB (0.9%)
2018-01-06T16:46:32.044-0800	[........................] jagdb.xaa700m_row	420MB/44.3GB (0.9%)
2018-01-06T16:46:35.044-0800	[........................] jagdb.xaa700m_row	427MB/44.3GB (0.9%)
2018-01-06T16:46:38.044-0800	[........................] jagdb.xaa700m_row	434MB/44.3GB (1.0%)
2018-01-06T16:46:41.044-0800	[........................] jagdb.xaa700m_row	438MB/44.3GB (1.0%)
2018-01-06T16:46:44.045-0800	[........................] jagdb.xaa700m_row	443MB/44.3GB (1.0%)
2018-01-06T16:46:47.044-0800	[........................] jagdb.xaa700m_row	447MB/44.3GB (1.0%)
2018-01-06T16:46:50.044-0800	[........................] jagdb.xaa700m_row	453MB/44.3GB (1.0%)
2018-01-06T16:46:53.044-0800	[........................] jagdb.xaa700m_row	459MB/44.3GB (1.0%)
2018-01-06T16:46:56.044-0800	[........................] jagdb.xaa700m_row	465MB/44.3GB (1.0%)
2018-01-06T16:46:59.044-0800	[........................] jagdb.xaa700m_row	472MB/44.3GB (1.0%)
2018-01-06T16:47:02.044-0800	[........................] jagdb.xaa700m_row	478MB/44.3GB (1.1%)
2018-01-06T16:47:05.044-0800	[........................] jagdb.xaa700m_row	484MB/44.3GB (1.1%)
2018-01-06T16:47:08.044-0800	[........................] jagdb.xaa700m_row	491MB/44.3GB (1.1%)
2018-01-06T16:47:11.044-0800	[........................] jagdb.xaa700m_row	497MB/44.3GB (1.1%)
2018-01-06T16:47:14.044-0800	[........................] jagdb.xaa700m_row	504MB/44.3GB (1.1%)
2018-01-06T16:47:17.044-0800	[........................] jagdb.xaa700m_row	510MB/44.3GB (1.1%)
2018-01-06T16:47:20.044-0800	[........................] jagdb.xaa700m_row	516MB/44.3GB (1.1%)
2018-01-06T16:47:23.044-0800	[........................] jagdb.xaa700m_row	523MB/44.3GB (1.2%)
2018-01-06T16:47:26.044-0800	[........................] jagdb.xaa700m_row	529MB/44.3GB (1.2%)
2018-01-06T16:47:29.044-0800	[........................] jagdb.xaa700m_row	536MB/44.3GB (1.2%)
2018-01-06T16:47:32.044-0800	[........................] jagdb.xaa700m_row	542MB/44.3GB (1.2%)
2018-01-06T16:47:35.044-0800	[........................] jagdb.xaa700m_row	548MB/44.3GB (1.2%)
2018-01-06T16:47:38.044-0800	[........................] jagdb.xaa700m_row	555MB/44.3GB (1.2%)
2018-01-06T16:47:41.044-0800	[........................] jagdb.xaa700m_row	561MB/44.3GB (1.2%)
2018-01-06T16:47:44.044-0800	[........................] jagdb.xaa700m_row	568MB/44.3GB (1.3%)
2018-01-06T16:47:47.044-0800	[........................] jagdb.xaa700m_row	573MB/44.3GB (1.3%)
2018-01-06T16:47:50.044-0800	[........................] jagdb.xaa700m_row	578MB/44.3GB (1.3%)
2018-01-06T16:47:53.044-0800	[........................] jagdb.xaa700m_row	582MB/44.3GB (1.3%)
2018-01-06T16:47:56.044-0800	[........................] jagdb.xaa700m_row	588MB/44.3GB (1.3%)
2018-01-06T16:47:59.044-0800	[........................] jagdb.xaa700m_row	594MB/44.3GB (1.3%)
2018-01-06T16:48:02.044-0800	[........................] jagdb.xaa700m_row	600MB/44.3GB (1.3%)
2018-01-06T16:48:05.044-0800	[........................] jagdb.xaa700m_row	607MB/44.3GB (1.3%)
2018-01-06T16:48:08.044-0800	[........................] jagdb.xaa700m_row	613MB/44.3GB (1.4%)
2018-01-06T16:48:11.044-0800	[........................] jagdb.xaa700m_row	619MB/44.3GB (1.4%)
2018-01-06T16:48:14.044-0800	[........................] jagdb.xaa700m_row	626MB/44.3GB (1.4%)
2018-01-06T16:48:17.044-0800	[........................] jagdb.xaa700m_row	632MB/44.3GB (1.4%)
2018-01-06T16:48:20.044-0800	[........................] jagdb.xaa700m_row	639MB/44.3GB (1.4%)
2018-01-06T16:48:23.044-0800	[........................] jagdb.xaa700m_row	645MB/44.3GB (1.4%)
2018-01-06T16:48:26.044-0800	[........................] jagdb.xaa700m_row	652MB/44.3GB (1.4%)
2018-01-06T16:48:29.044-0800	[........................] jagdb.xaa700m_row	658MB/44.3GB (1.5%)
2018-01-06T16:48:32.044-0800	[........................] jagdb.xaa700m_row	665MB/44.3GB (1.5%)
2018-01-06T16:48:35.044-0800	[........................] jagdb.xaa700m_row	671MB/44.3GB (1.5%)
2018-01-06T16:48:38.044-0800	[........................] jagdb.xaa700m_row	678MB/44.3GB (1.5%)
2018-01-06T16:48:41.044-0800	[........................] jagdb.xaa700m_row	684MB/44.3GB (1.5%)
2018-01-06T16:48:44.044-0800	[........................] jagdb.xaa700m_row	690MB/44.3GB (1.5%)
2018-01-06T16:48:47.044-0800	[........................] jagdb.xaa700m_row	697MB/44.3GB (1.5%)
2018-01-06T16:48:50.044-0800	[........................] jagdb.xaa700m_row	703MB/44.3GB (1.5%)
2018-01-06T16:48:53.044-0800	[........................] jagdb.xaa700m_row	708MB/44.3GB (1.6%)
2018-01-06T16:48:56.044-0800	[........................] jagdb.xaa700m_row	713MB/44.3GB (1.6%)
2018-01-06T16:48:59.044-0800	[........................] jagdb.xaa700m_row	716MB/44.3GB (1.6%)
2018-01-06T16:49:02.044-0800	[........................] jagdb.xaa700m_row	723MB/44.3GB (1.6%)
2018-01-06T16:49:05.044-0800	[........................] jagdb.xaa700m_row	729MB/44.3GB (1.6%)
2018-01-06T16:49:08.044-0800	[........................] jagdb.xaa700m_row	735MB/44.3GB (1.6%)
2018-01-06T16:49:11.044-0800	[........................] jagdb.xaa700m_row	742MB/44.3GB (1.6%)
2018-01-06T16:49:14.044-0800	[........................] jagdb.xaa700m_row	748MB/44.3GB (1.6%)
2018-01-06T16:49:17.044-0800	[........................] jagdb.xaa700m_row	755MB/44.3GB (1.7%)
2018-01-06T16:49:20.044-0800	[........................] jagdb.xaa700m_row	761MB/44.3GB (1.7%)
2018-01-06T16:49:23.044-0800	[........................] jagdb.xaa700m_row	768MB/44.3GB (1.7%)
2018-01-06T16:49:26.044-0800	[........................] jagdb.xaa700m_row	774MB/44.3GB (1.7%)
2018-01-06T16:49:29.044-0800	[........................] jagdb.xaa700m_row	780MB/44.3GB (1.7%)
2018-01-06T16:49:32.044-0800	[........................] jagdb.xaa700m_row	787MB/44.3GB (1.7%)
2018-01-06T16:49:35.044-0800	[........................] jagdb.xaa700m_row	793MB/44.3GB (1.7%)
2018-01-06T16:49:38.044-0800	[........................] jagdb.xaa700m_row	800MB/44.3GB (1.8%)
2018-01-06T16:49:41.044-0800	[........................] jagdb.xaa700m_row	806MB/44.3GB (1.8%)
2018-01-06T16:49:44.044-0800	[........................] jagdb.xaa700m_row	812MB/44.3GB (1.8%)
2018-01-06T16:49:47.044-0800	[........................] jagdb.xaa700m_row	819MB/44.3GB (1.8%)
2018-01-06T16:49:50.044-0800	[........................] jagdb.xaa700m_row	825MB/44.3GB (1.8%)
2018-01-06T16:49:53.044-0800	[........................] jagdb.xaa700m_row	831MB/44.3GB (1.8%)
2018-01-06T16:49:56.044-0800	[........................] jagdb.xaa700m_row	838MB/44.3GB (1.8%)
2018-01-06T16:49:59.044-0800	[........................] jagdb.xaa700m_row	841MB/44.3GB (1.9%)
2018-01-06T16:50:02.044-0800	[........................] jagdb.xaa700m_row	846MB/44.3GB (1.9%)
2018-01-06T16:50:05.044-0800	[........................] jagdb.xaa700m_row	850MB/44.3GB (1.9%)
2018-01-06T16:50:08.044-0800	[........................] jagdb.xaa700m_row	856MB/44.3GB (1.9%)
2018-01-06T16:50:11.044-0800	[........................] jagdb.xaa700m_row	862MB/44.3GB (1.9%)
2018-01-06T16:50:14.044-0800	[........................] jagdb.xaa700m_row	868MB/44.3GB (1.9%)
2018-01-06T16:50:17.044-0800	[........................] jagdb.xaa700m_row	875MB/44.3GB (1.9%)
2018-01-06T16:50:20.044-0800	[........................] jagdb.xaa700m_row	881MB/44.3GB (1.9%)
2018-01-06T16:50:23.044-0800	[........................] jagdb.xaa700m_row	888MB/44.3GB (2.0%)
2018-01-06T16:50:26.044-0800	[........................] jagdb.xaa700m_row	894MB/44.3GB (2.0%)
2018-01-06T16:50:29.044-0800	[........................] jagdb.xaa700m_row	901MB/44.3GB (2.0%)
2018-01-06T16:50:32.044-0800	[........................] jagdb.xaa700m_row	907MB/44.3GB (2.0%)
